,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",-0.9879572703980439,-0.9846910677602085,-0.9913010503375261,-0.9875216369025559
"[5.0, 45.0, 35.0, 75.0]",-0.7621404969917487,-0.760716576392049,-0.7725530557207989,-0.7688879579951247
"[5.0, 85.0, 35.0, 115.0]",-0.5372730508345409,-0.5424402916843607,-0.5387311023517567,-0.5352608220897819
"[45.0, 85.0, 75.0, 115.0]",-0.58519850599,-0.39614526772900266,-0.490099501,-0.40146977626937064
"[45.0, 5.0, 75.0, 35.0]",-0.7598463650247682,-0.7725530557207989,-0.7628630826811167,-0.7733211782478405
"[85.0, 5.0, 115.0, 35.0]",-0.5353122551725491,-0.5398555080269302,-0.5351573695993012,-0.5357794176991215
"[85.0, 45.0, 115.0, 75.0]",-0.40020681592231255,-0.3940399,-0.4107142229357354,-0.490099501
"[125.0, 45.0, 155.0, 75.0]",-0.3108368390858312,-0.31795040104060796,-0.31479365580070634,-0.3189888019584803
"[165.0, 45.0, 195.0, 75.0]",-0.29701,-0.29701,-0.2665190753043487,-0.27512424363381066
terminal,0.0,0.0,0.0,0.0
"[5.0, 125.0, 35.0, 155.0]",-0.4200756397431614,-0.6793465209301,-0.4120677941252175,-0.4207624755072118
"[125.0, 5.0, 155.0, 35.0]",-0.4112813856420885,-0.417716132465019,-0.490099501,-0.4081290887336728
"[45.0, 125.0, 75.0, 155.0]",-0.3160942394992602,-0.597,-0.30881790944096466,-0.3182008061321179
"[85.0, 125.0, 115.0, 155.0]",-0.199,-0.12709366249554474,-0.12265038546667532,-0.12664477643230368
"[125.0, 125.0, 155.0, 155.0]",-0.04107649832015882,-0.199,1.328328551729189,-0.03023616566114696
"[125.0, 85.0, 155.0, 115.0]",-0.13730976801478179,-0.12498978749975176,-0.29701,-0.199
"[85.0, 165.0, 115.0, 195.0]",-0.09128309844502147,-0.08964083874125915,-0.29701,-0.3
"[165.0, 125.0, 195.0, 155.0]",-0.29701,12.264035639818362,-0.01,0.0
